Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
63582,-9.26,-2.03,-0.34,0.01,0.02,-0.02,standing
63602,-9.36,-2.15,-0.31,0.01,0.00,-0.03,standing
63621,-9.44,-2.21,-0.34,-0.02,-0.01,-0.04,standing
63642,-9.38,-2.21,-0.29,-0.04,-0.02,-0.03,standing
63662,-9.13,-2.33,-0.28,-0.05,-0.02,-0.02,standing
63682,-9.13,-2.48,-0.16,-0.01,-0.00,-0.02,standing
63702,-9.24,-2.47,-0.11,-0.01,0.01,-0.03,standing
63722,-9.25,-2.47,-0.22,0.00,0.00,-0.03,standing
63742,-9.27,-2.47,-0.17,-0.00,-0.02,-0.02,standing
63762,-9.27,-2.40,-0.12,-0.02,-0.03,-0.01,standing
63782,-9.24,-2.34,-0.12,-0.03,-0.03,0.00,standing
63802,-9.24,-2.38,-0.17,-0.03,-0.02,0.00,standing
63822,-9.24,-2.57,-0.01,-0.02,-0.01,0.01,standing
63842,-9.30,-2.60,0.01,0.03,-0.01,0.01,standing
63862,-9.28,-2.56,-0.05,0.06,-0.03,0.02,standing
63882,-9.20,-2.51,-0.07,0.07,-0.03,0.04,standing
63902,-9.16,-2.43,-0.01,0.05,-0.02,0.05,standing
63922,-9.25,-2.32,-0.09,0.06,-0.01,0.05,standing
63942,-9.24,-2.17,-0.17,0.05,-0.02,0.05,standing
63962,-9.33,-2.27,-0.16,0.03,-0.03,0.05,standing
63982,-9.24,-2.30,-0.03,0.00,-0.04,0.06,standing
64002,-9.28,-2.34,-0.00,0.00,-0.05,0.05,standing
64022,-9.17,-2.29,-0.04,-0.00,-0.03,0.05,standing
64041,-9.19,-2.30,0.03,0.00,-0.02,0.05,standing
64062,-9.19,-2.28,-0.15,0.01,-0.02,0.05,standing
64082,-9.22,-2.29,-0.10,0.00,-0.02,0.04,standing
64102,-9.27,-2.31,-0.14,-0.01,-0.01,0.04,standing
64122,-9.31,-2.23,-0.06,-0.01,-0.01,0.04,standing
64142,-9.24,-2.24,0.02,0.00,-0.00,0.03,standing
64162,-9.27,-2.21,0.11,0.01,0.00,0.03,standing
64182,-9.25,-2.18,-0.09,0.01,-0.00,0.02,standing
64202,-9.26,-2.19,-0.17,-0.02,0.00,0.03,standing
64222,-9.31,-2.23,-0.17,-0.03,-0.00,0.04,standing
64242,-9.22,-2.21,-0.09,-0.02,0.01,0.05,standing
64262,-9.30,-2.21,-0.13,-0.01,0.01,0.05,standing
64282,-9.28,-2.21,-0.14,-0.00,0.00,0.05,standing
64302,-9.33,-2.29,-0.16,0.01,0.00,0.04,standing
64322,-9.28,-2.24,-0.19,-0.01,-0.00,0.04,standing
64342,-9.17,-2.13,-0.03,-0.00,0.00,0.04,standing
64362,-9.14,-2.14,-0.18,-0.03,0.01,0.03,standing
64382,-9.24,-2.18,-0.09,-0.02,0.03,0.03,standing
64402,-9.31,-2.14,-0.30,-0.02,0.03,0.02,standing
64422,-9.42,-2.25,-0.35,-0.03,0.02,0.01,standing
64442,-9.27,-2.39,-0.24,-0.02,0.02,0.01,standing
64462,-9.28,-2.38,-0.14,0.02,0.01,0.01,standing
64482,-9.22,-2.27,-0.18,0.04,0.01,0.01,standing
64502,-9.24,-2.11,-0.23,0.03,0.03,0.02,standing
64522,-9.29,-2.08,-0.26,0.01,0.03,0.03,standing
64548,-9.24,-2.08,-0.19,-0.02,0.03,0.02,standing
64569,-9.23,-2.08,-0.19,-0.01,0.03,0.01,standing
64589,-9.32,-2.10,-0.22,-0.01,0.02,0.02,standing
64609,-9.36,-2.09,-0.19,-0.01,0.02,0.01,standing
64629,-9.27,-2.17,-0.19,-0.02,0.02,0.01,standing
64649,-9.29,-2.18,-0.11,-0.00,0.03,0.01,standing
64669,-9.25,-2.31,-0.24,-0.02,0.04,0.02,standing
64689,-9.27,-2.22,-0.21,-0.01,0.04,0.03,standing
64709,-9.32,-2.08,-0.19,0.00,0.03,0.03,standing
64729,-9.38,-2.05,-0.28,-0.02,0.02,0.03,standing
64749,-9.37,-2.06,-0.30,-0.02,0.00,0.03,standing
64769,-9.24,-2.08,-0.23,-0.04,0.01,0.03,standing
64789,-9.25,-2.09,-0.28,-0.03,0.02,0.03,standing
64809,-9.31,-2.17,-0.30,-0.04,0.02,0.03,standing
64829,-9.25,-2.16,-0.15,-0.04,0.01,0.03,standing
