Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
57530,-9.33,-0.84,0.33,-0.04,-0.01,-0.18,standing
57550,-9.44,-0.85,0.28,-0.05,-0.04,-0.17,standing
57570,-9.42,-0.74,0.27,-0.07,-0.07,-0.15,standing
57590,-9.39,-0.66,0.27,-0.07,-0.08,-0.16,standing
57610,-9.32,-0.83,0.45,-0.06,-0.09,-0.14,standing
57630,-9.25,-0.96,0.45,0.01,-0.07,-0.13,standing
57650,-9.40,-0.87,0.34,-0.02,-0.07,-0.11,standing
57670,-9.36,-0.83,0.35,-0.04,-0.10,-0.10,standing
57695,-9.29,-0.80,0.76,-0.03,-0.09,-0.09,standing
57715,-9.44,-0.66,0.66,-0.02,-0.07,-0.08,standing
57735,-9.46,-0.80,0.79,0.02,-0.07,-0.06,standing
57755,-9.33,-0.80,0.89,0.01,-0.08,-0.04,standing
57775,-9.62,-0.74,0.58,-0.00,-0.02,-0.03,standing
57795,-9.85,-0.65,0.57,-0.06,-0.00,-0.05,standing
57815,-9.79,-0.65,0.64,-0.11,-0.01,-0.06,standing
57835,-9.62,-0.68,0.70,-0.13,-0.04,-0.05,standing
57855,-9.33,-0.73,0.71,-0.13,-0.07,-0.04,standing
57875,-9.13,-0.90,0.95,-0.16,-0.08,-0.03,standing
57895,-9.11,-0.96,1.08,-0.17,-0.06,-0.05,standing
57915,-9.48,-0.98,1.15,-0.20,-0.08,-0.04,standing
57935,-9.56,-1.05,1.05,-0.21,-0.14,-0.04,standing
57955,-9.35,-1.01,0.90,-0.24,-0.14,-0.02,standing
57975,-9.28,-0.91,1.04,-0.29,-0.07,-0.01,standing
57995,-9.34,-0.85,1.04,-0.29,-0.03,-0.01,standing
58015,-9.33,-1.04,0.84,-0.26,-0.01,-0.01,standing
58035,-9.37,-1.19,0.82,-0.25,0.00,0.00,standing
58055,-9.38,-1.27,0.71,-0.23,0.03,-0.00,standing
58075,-9.30,-1.31,0.74,-0.24,0.02,0.01,standing
58095,-9.11,-1.24,0.81,-0.22,-0.02,0.03,standing
58115,-9.03,-1.26,0.79,-0.20,-0.03,0.05,standing
58135,-9.00,-1.24,0.57,-0.17,-0.01,0.06,standing
58155,-8.86,-1.14,0.38,-0.14,0.02,0.07,standing
58175,-8.94,-1.19,0.50,-0.13,0.03,0.10,standing
58195,-9.01,-1.13,0.64,-0.10,0.04,0.12,standing
58215,-9.11,-1.16,0.53,-0.03,0.05,0.13,standing
58235,-9.25,-1.18,0.57,0.01,0.09,0.14,standing
58255,-9.41,-1.23,0.41,0.05,0.09,0.15,standing
58274,-9.54,-1.23,0.55,0.08,0.05,0.15,standing
58300,-9.73,-0.90,0.43,0.13,0.06,0.16,standing
58320,-9.71,-0.66,0.40,0.12,0.06,0.15,standing
58340,-9.47,-0.69,0.30,0.10,0.10,0.13,standing
58360,-9.47,-0.91,0.34,0.08,0.09,0.12,standing
58380,-9.44,-0.97,0.68,0.05,0.06,0.13,standing
58400,-9.53,-0.53,0.51,0.05,0.10,0.13,standing
58420,-9.82,0.05,0.22,-0.01,0.10,0.12,standing
58440,-9.62,0.08,-0.00,-0.06,0.13,0.12,standing
58460,-9.62,-0.27,-0.08,-0.09,0.17,0.11,standing
58480,-9.55,-0.84,0.30,-0.06,0.11,0.11,standing
58500,-9.51,-1.13,0.25,-0.04,0.07,0.11,standing
58520,-9.61,-0.74,0.16,-0.04,-0.00,0.14,standing
58540,-9.47,-0.04,0.12,-0.04,-0.03,0.16,standing
58560,-9.46,0.34,0.17,-0.05,-0.01,0.16,standing
58580,-9.49,0.52,0.01,-0.05,0.06,0.15,standing
58600,-9.37,0.30,0.09,-0.08,0.11,0.14,standing
58620,-9.52,0.04,-0.09,-0.12,0.12,0.13,standing
58640,-9.50,-0.25,0.02,-0.15,0.08,0.13,standing
58660,-9.56,-0.34,0.02,-0.11,0.04,0.15,standing
58680,-9.47,-0.17,0.01,-0.09,0.03,0.16,standing
58700,-9.62,-0.04,0.04,-0.07,0.04,0.15,standing
58720,-9.65,0.14,0.06,-0.07,0.01,0.15,standing
58740,-9.47,0.12,-0.03,-0.09,0.02,0.15,standing
58760,-9.48,0.08,-0.03,-0.10,0.03,0.14,standing
58780,-9.53,0.05,0.16,-0.09,0.03,0.15,standing
58800,-9.48,0.01,0.16,-0.06,0.02,0.14,standing
58820,-9.46,0.12,0.20,-0.02,0.00,0.12,standing
58840,-9.40,0.11,0.02,-0.03,0.01,0.12,standing
