Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
29583,-9.16,0.25,1.01,-1.28,0.03,0.31,standing
29603,-9.48,0.10,0.78,-1.35,0.13,0.31,standing
29623,-9.42,0.16,0.44,-1.43,0.17,0.30,standing
29643,-9.32,0.14,0.35,-1.50,0.21,0.28,standing
29663,-9.25,0.06,0.26,-1.55,0.25,0.27,standing
29683,-9.32,-0.02,0.16,-1.64,0.24,0.27,standing
29703,-9.29,-0.13,0.20,-1.70,0.29,0.26,standing
29723,-9.38,-0.24,0.25,-1.71,0.36,0.24,standing
29743,-9.14,-0.36,0.05,-1.72,0.43,0.20,standing
29763,-9.25,-0.49,-0.16,-1.74,0.47,0.16,standing
29783,-9.26,-0.41,-0.06,-1.71,0.41,0.13,standing
29803,-9.16,-0.48,-0.24,-1.68,0.45,0.11,standing
29823,-9.22,-0.85,-0.07,-1.61,0.48,0.10,standing
29843,-9.69,-0.94,0.27,-1.50,0.46,0.12,standing
29863,-9.83,-0.73,0.38,-1.33,0.43,0.11,standing
29883,-10.39,-0.69,0.38,-1.14,0.31,0.09,standing
29903,-10.57,-0.70,0.45,-1.01,0.08,0.06,standing
29923,-9.99,-0.36,0.72,-0.90,-0.11,0.12,standing
29943,-9.68,0.61,0.94,-0.83,-0.15,0.17,standing
29963,-9.35,1.17,1.21,-0.82,-0.13,0.13,standing
29983,-9.05,1.11,0.78,-0.84,0.05,0.08,standing
30003,-9.18,0.77,0.13,-0.89,0.10,0.05,standing
30023,-9.61,0.32,-0.36,-0.92,0.10,0.02,standing
30043,-9.76,0.08,-0.28,-0.89,-0.06,-0.01,standing
30063,-9.51,-0.16,-0.07,-0.77,-0.18,-0.05,standing
30083,-9.45,-0.34,0.02,-0.62,-0.19,-0.08,standing
30103,-9.58,-0.44,-0.42,-0.52,-0.15,-0.09,standing
30123,-9.95,-0.82,-0.78,-0.50,-0.12,-0.12,standing
30143,-10.15,-1.13,-0.48,-0.48,-0.24,-0.12,standing
30163,-9.73,-0.80,-0.11,-0.32,-0.28,-0.12,standing
30183,-9.82,-0.30,-0.78,-0.34,-0.15,-0.10,standing
30203,-9.87,-0.29,-0.79,-0.47,-0.13,-0.07,standing
30223,-9.20,-0.52,-0.22,-0.58,-0.20,-0.09,standing
30243,-8.68,-0.73,0.66,-0.60,-0.22,-0.11,standing
30263,-8.71,-0.66,0.97,-0.53,-0.15,-0.14,standing
30283,-9.20,-0.63,0.52,-0.42,-0.05,-0.18,standing
30303,-9.87,-0.81,0.04,-0.42,-0.08,-0.17,standing
30323,-10.02,-1.12,0.52,-0.44,-0.22,-0.13,standing
30343,-9.72,-1.39,0.68,-0.40,-0.28,-0.12,standing
30363,-9.37,-1.54,1.05,-0.40,-0.38,-0.13,standing
30383,-9.43,-1.61,1.99,-0.32,-0.36,-0.17,standing
30403,-9.50,-1.13,2.31,-0.21,-0.36,-0.20,standing
30423,-9.67,-0.42,2.02,-0.23,-0.22,-0.19,standing
30443,-10.01,-0.12,1.84,-0.32,-0.20,-0.18,standing
30463,-10.12,-0.42,1.52,-0.44,-0.25,-0.20,standing
30483,-9.94,-0.83,1.58,-0.52,-0.40,-0.19,standing
30503,-9.16,-1.17,1.62,-0.53,-0.45,-0.18,standing
30523,-8.93,-1.03,2.41,-0.48,-0.45,-0.14,standing
30543,-8.89,-0.70,2.39,-0.47,-0.35,-0.08,standing
30563,-9.36,-0.30,1.70,-0.47,-0.34,-0.02,standing
30583,-8.54,-0.38,1.41,-0.51,-0.32,0.05,standing
30603,-8.04,-0.57,1.37,-0.57,-0.22,0.12,standing
30623,-8.03,-1.04,1.42,-0.56,-0.07,0.18,standing
30643,-8.26,-1.54,1.33,-0.52,-0.00,0.23,standing
30663,-8.65,-2.19,1.66,-0.41,-0.02,0.25,standing
30683,-8.85,-1.92,1.88,-0.16,-0.03,0.25,standing
30703,-9.32,-2.03,1.04,-0.04,0.08,0.27,standing
30723,-9.58,-1.85,0.96,0.12,-0.02,0.25,standing
30743,-9.59,-1.65,1.37,0.23,-0.04,0.21,standing
30763,-9.91,-1.70,1.55,0.27,-0.01,0.17,standing
30783,-10.24,-1.57,1.60,0.36,-0.09,0.06,standing
30803,-9.10,-1.41,1.49,0.39,-0.20,0.01,standing
30823,-8.62,-1.13,1.57,0.40,-0.12,0.03,standing
30843,-8.87,-0.47,1.22,0.26,-0.09,0.02,standing
30863,-9.22,-0.79,1.13,0.34,-0.03,-0.02,standing
30883,-9.19,-0.83,1.54,0.31,-0.02,-0.05,standing
30903,-9.33,-0.92,1.60,0.33,0.02,-0.09,standing
30923,-9.60,-0.87,1.28,0.32,-0.01,-0.08,standing
30943,-9.36,-0.57,0.96,0.31,-0.06,-0.05,standing
30963,-8.99,-0.53,1.07,0.24,0.05,-0.02,standing
30983,-8.87,-0.58,1.30,0.17,0.15,-0.00,standing
31003,-8.91,-0.78,1.45,0.12,0.22,-0.02,standing
31023,-9.37,-0.91,1.28,0.11,0.13,-0.06,standing
31043,-9.22,-0.79,1.49,0.09,0.18,-0.08,standing
31063,-9.35,-0.79,1.17,0.06,0.19,-0.05,standing
31083,-9.39,-0.64,1.19,0.06,0.16,-0.03,standing
31103,-9.33,-0.34,1.02,-0.04,0.14,-0.01,standing
31123,-9.29,-0.19,0.97,-0.11,0.13,-0.01,standing
31143,-9.19,-0.23,0.93,-0.17,0.13,-0.01,standing
31163,-9.32,-0.35,1.09,-0.25,0.15,-0.01,standing
31183,-9.59,-0.69,1.04,-0.27,0.13,0.00,standing
31203,-9.64,-0.83,1.09,-0.30,0.11,-0.01,standing
31223,-9.59,-0.93,1.15,-0.30,0.06,-0.02,standing
31243,-9.35,-1.02,1.23,-0.32,0.05,0.01,standing
31263,-9.32,-1.12,1.31,-0.30,0.05,0.05,standing
31283,-9.30,-1.04,1.27,-0.27,0.11,0.05,standing
31303,-9.39,-1.13,1.17,-0.22,0.12,0.03,standing
31323,-9.48,-1.07,1.04,-0.20,0.13,0.04,standing
31343,-9.41,-1.11,0.88,-0.17,0.05,0.03,standing
31363,-9.43,-0.97,0.91,-0.17,0.05,0.06,standing
31383,-9.41,-0.85,1.05,-0.16,0.06,0.08,standing
31403,-9.34,-0.87,0.84,-0.14,0.06,0.08,standing
31423,-9.25,-0.85,0.69,-0.12,0.06,0.07,standing
31443,-9.15,-0.73,0.70,-0.12,0.07,0.09,standing
31463,-9.52,-0.76,0.74,-0.12,0.11,0.09,standing
31483,-9.71,-0.89,0.51,-0.10,0.07,0.09,standing
31503,-9.75,-1.06,0.53,-0.07,0.04,0.07,standing
31523,-9.55,-0.99,0.67,-0.03,-0.01,0.08,standing
31543,-9.45,-0.62,0.82,-0.01,-0.01,0.09,standing
31563,-9.41,-0.40,0.75,-0.02,0.04,0.11,standing
31583,-9.66,-0.39,0.68,-0.03,0.06,0.11,standing
31603,-9.42,-0.52,0.72,-0.04,0.03,0.09,standing
31623,-9.27,-0.57,0.69,-0.03,0.03,0.08,standing
31643,-9.26,-0.66,0.66,-0.04,0.01,0.08,standing
31663,-9.40,-0.53,0.72,-0.05,0.01,0.09,standing
31683,-9.32,-0.52,0.60,-0.07,-0.01,0.08,standing
32226,-9.58,-0.77,1.02,0.10,-0.06,-0.05,standing
32246,-9.40,-0.66,0.87,0.11,-0.08,-0.05,standing
32266,-9.40,-0.66,0.90,0.12,-0.06,-0.05,standing
32286,-9.34,-0.56,0.96,0.11,-0.06,-0.04,standing
32306,-9.31,-0.62,0.99,0.11,-0.05,-0.04,standing
32326,-9.36,-0.65,0.90,0.13,-0.04,-0.04,standing
32346,-9.38,-0.62,0.96,0.15,-0.04,-0.04,standing
32366,-9.36,-0.66,0.97,0.17,-0.05,-0.05,standing
32386,-9.35,-0.53,0.98,0.17,-0.04,-0.04,standing
32406,-9.35,-0.52,1.00,0.16,-0.02,-0.03,standing
32426,-9.34,-0.48,1.05,0.17,-0.01,-0.03,standing
32446,-9.34,-0.55,0.93,0.17,0.01,-0.03,standing
32466,-9.37,-0.53,1.06,0.16,0.01,-0.02,standing
32486,-9.34,-0.51,0.88,0.16,0.01,-0.03,standing
32506,-9.48,-0.43,0.90,0.13,-0.01,-0.02,standing
32526,-9.43,-0.37,0.95,0.10,-0.01,-0.02,standing
32546,-9.42,-0.46,1.02,0.05,-0.00,-0.02,standing
32566,-9.39,-0.45,0.90,0.02,-0.00,-0.00,standing
32586,-9.42,-0.39,0.92,0.01,-0.01,0.00,standing
32606,-9.36,-0.29,1.09,-0.03,-0.01,0.00,standing
32626,-9.39,-0.24,0.96,-0.07,0.01,0.02,standing
32646,-9.46,-0.28,0.90,-0.09,0.00,0.01,standing
32666,-9.38,-0.44,0.85,-0.16,-0.01,0.03,standing
32686,-9.33,-0.42,1.01,-0.17,-0.00,0.03,standing
32706,-9.33,-0.36,0.95,-0.19,-0.02,0.03,standing
32726,-9.40,-0.39,0.82,-0.22,-0.02,0.03,standing
32746,-9.41,-0.45,0.84,-0.23,-0.05,0.04,standing
32766,-9.41,-0.43,0.94,-0.26,-0.06,0.05,standing
32786,-9.41,-0.48,0.91,-0.29,-0.08,0.07,standing
32806,-9.34,-0.41,1.07,-0.30,-0.07,0.06,standing
32826,-9.32,-0.52,0.98,-0.29,-0.06,0.06,standing
32846,-9.25,-0.52,0.96,-0.28,-0.03,0.05,standing
